lr-AdamW,step,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric,epoch,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.7639403343200684,0.26362141966819763,34.020103454589844,1.425147533416748,1.425147533416748,0.240371435880661,0.240371435880661,0.2469405084848404,0.5114856958389282,0.5114856958389282,0.2609630227088928,0.240371435880661,0.5114856958389282,0.23958395421504974,0.5101585984230042,0.240371435880661,0,,,,,,,,,,,,,
1.189323436817763e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,0,0.7681801319122314,0.26871347427368164,0.27737903594970703,0.2724609375,0.2724609375,0.26763802766799927,0.5322265625,0.5322265625,0.2724609375,0.5322265625,0.27390167117118835,0.5349563360214233,2.1303741931915283
,67,0.7637152075767517,0.26338639855384827,34.02034378051758,1.4198246002197266,1.4198246002197266,0.2468000054359436,0.2468000054359436,0.25317656993865967,0.515914261341095,0.515914261341095,0.26472049951553345,0.2468000054359436,0.515914261341095,0.2469627559185028,0.5161097645759583,0.2468000054359436,0,,,,,,,,,,,,,
1.7726394439046153e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,0,0.7687790989875793,0.2693210542201996,0.26732420921325684,0.2607421875,0.2607421875,0.26159167289733887,0.513671875,0.513671875,0.2607421875,0.513671875,0.2633475661277771,0.518121063709259,2.084151268005371
,101,0.763562023639679,0.2632266879081726,34.02067565917969,1.4163259267807007,1.4163259267807007,0.24791428446769714,0.24791428446769714,0.25245168805122375,0.5189142823219299,0.5189142823219299,0.2648003399372101,0.24791428446769714,0.5189142823219299,0.24718986451625824,0.5179315805435181,0.24791428446769714,0,,,,,,,,,,,,,
,135,0.7634334564208984,0.2630905210971832,34.021141052246094,1.4120804071426392,1.4120804071426392,0.25354287028312683,0.25354287028312683,0.25552231073379517,0.522599995136261,0.522599995136261,0.26531949639320374,0.25354287028312683,0.522599995136261,0.2540203630924225,0.5230377316474915,0.25354287028312683,0,,,,,,,,,,,,,
2.7494512169227363e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,0,0.7642878293991089,0.26463064551353455,0.2917379140853882,0.291015625,0.291015625,0.2680225372314453,0.53515625,0.53515625,0.291015625,0.53515625,0.29015782475471497,0.534232497215271,2.0391273498535156
,169,0.763086199760437,0.26273113489151,34.02180862426758,1.4060803651809692,1.4060803651809692,0.26031428575515747,0.26031428575515747,0.26219871640205383,0.5253142714500427,0.5253142714500427,0.266615092754364,0.26031428575515747,0.5253142714500427,0.2600378096103668,0.5252236723899841,0.26031428575515747,0,,,,,,,,,,,,,
4.1187947605840046e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,,,0,0.7693713903427124,0.2698804438114166,0.2638876438140869,0.2646484375,0.2646484375,0.25780707597732544,0.5166015625,0.5166015625,0.2646484375,0.5166015625,0.2639015018939972,0.515763521194458,2.1006619930267334
,203,0.7625550627708435,0.2621820271015167,34.02268981933594,1.3968931436538696,1.3968931436538696,0.26991429924964905,0.26991429924964905,0.26985085010528564,0.5442571640014648,0.5442571640014648,0.27532652020454407,0.26991429924964905,0.5442571640014648,0.27028194069862366,0.5445148944854736,0.26991429924964905,0,,,,,,,,,,,,,
,237,0.7622528672218323,0.26187026500701904,34.023773193359375,1.3915587663650513,1.3915587663650513,0.27651429176330566,0.27651429176330566,0.2755703628063202,0.5532857179641724,0.5532857179641724,0.27938055992126465,0.27651429176330566,0.5532857179641724,0.27659302949905396,0.5533338189125061,0.27651429176330566,0,,,,,,,,,,,,,
5.8793186981337385e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,,,0,0.7647275924682617,0.26504993438720703,0.2770245373249054,0.2744140625,0.2744140625,0.2643267810344696,0.5234375,0.5234375,0.2744140625,0.5234375,0.27403172850608826,0.5230841040611267,1.9878051280975342
,271,0.7616614699363708,0.26126086711883545,34.02509689331055,1.3825303316116333,1.3825303316116333,0.2929428517818451,0.2929428517818451,0.2918250560760498,0.5665428042411804,0.5665428042411804,0.2861669957637787,0.2929428517818451,0.5665428638458252,0.2928256690502167,0.5663877725601196,0.2929428517818451,0,,,,,,,,,,,,,
8.02928560499617e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,,,,,,,,,,,,,,,,,0,0.7700201869010925,0.2704792022705078,0.24719759821891785,0.2470703125,0.2470703125,0.25259995460510254,0.5048828125,0.5048828125,0.2470703125,0.5048828125,0.24651189148426056,0.5045450925827026,1.9934560060501099
,305,0.76097172498703,0.26055195927619934,34.02678680419922,1.3718693256378174,1.3718693256378174,0.3092285692691803,0.3092285692691803,0.30826041102409363,0.5847428441047668,0.5847428441047668,0.2958689033985138,0.3092285692691803,0.5847428441047668,0.3090098202228546,0.584640622138977,0.3092285692691803,0,,,,,,,,,,,,,
,339,0.7604755759239197,0.2600423991680145,34.028785705566406,1.364181399345398,1.364181399345398,0.32440000772476196,0.32440000772476196,0.32335832715034485,0.595371425151825,0.595371425151825,0.3013363182544708,0.32440000772476196,0.595371425151825,0.32463520765304565,0.5954657793045044,0.32440000772476196,0,,,,,,,,,,,,,
1.0566573723402882e-05,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,,,,,,,,,,,,,,,,,0,0.7655926942825317,0.2658537030220032,0.27180156111717224,0.2705078125,0.2705078125,0.2623864412307739,0.521484375,0.521484375,0.2705078125,0.521484375,0.2714589834213257,0.5218323469161987,1.8698686361312866
,373,0.7599782943725586,0.2595311105251312,34.03103256225586,1.356797218322754,1.356797218322754,0.34380000829696655,0.34380000829696655,0.34394291043281555,0.6124571561813354,0.6124571561813354,0.3109178841114044,0.34380000829696655,0.6124571561813354,0.3438293933868408,0.6125840544700623,0.34380000829696655,0,,,,,,,,,,,,,
1.3488679056311573e-05,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
