lr-AdamW,step,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric,epoch,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.7640871405601501,0.2633344531059265,101.97245025634766,1.4636286497116089,1.4636286497116089,0.23559999465942383,0.23559999465942383,0.2374667376279831,0.4887999892234802,0.4887999892234802,0.24787817895412445,0.23559999465942383,0.4887999892234802,0.2359214574098587,0.4895782470703125,0.23559999465942383,0,,,,,,,,,,,,,
1.1182382915795542e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,0,0.7675952315330505,0.2688378393650055,0.2777692377567291,0.27734375,0.27734375,0.2664175033569336,0.5322265625,0.5322265625,0.27734375,0.5322265625,0.27743905782699585,0.532284140586853,2.678860664367676
,67,0.7640527486801147,0.26327481865882874,101.97319793701172,1.455762505531311,1.455762505531311,0.23880000412464142,0.23880000412464142,0.24266941845417023,0.4888571500778198,0.4888571500778198,0.24746668338775635,0.23880000412464142,0.4888571500778198,0.2387821078300476,0.48887377977371216,0.23880000412464142,0,,,,,,,,,,,,,
1.4825370244160239e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,0,0.7723574638366699,0.2727069854736328,0.26020973920822144,0.255859375,0.255859375,0.25790056586265564,0.509765625,0.509765625,0.255859375,0.509765625,0.25725454092025757,0.510006308555603,2.707371711730957
,101,0.7639659643173218,0.2631629407405853,101.97428894042969,1.4511297941207886,1.4511297941207886,0.23757143318653107,0.23757143318653107,0.2440212368965149,0.4916571378707886,0.4916571378707886,0.24979034066200256,0.23757143318653107,0.4916571378707886,0.2383892834186554,0.4922455847263336,0.23757143318653107,0,,,,,,,,,,,,,
,135,0.7636509537696838,0.26289844512939453,101.97543334960938,1.4446598291397095,1.4446598291397095,0.23974286019802094,0.23974286019802094,0.249624103307724,0.49791428446769714,0.49791428446769714,0.2541605830192566,0.23974286019802094,0.49791428446769714,0.24006043374538422,0.4984074831008911,0.23974286019802094,0,,,,,,,,,,,,,
2.092585928966765e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,0,0.7708346843719482,0.27152079343795776,0.25343048572540283,0.2548828125,0.2548828125,0.25671935081481934,0.5126953125,0.5126953125,0.2548828125,0.5126953125,0.25492751598358154,0.5128475427627563,2.566274881362915
,169,0.7636668086051941,0.2628955841064453,101.97718811035156,1.4410241842269897,1.4410241842269897,0.24002857506275177,0.24002857506275177,0.24820482730865479,0.4984000027179718,0.4984000027179718,0.25302937626838684,0.24002857506275177,0.4984000027179718,0.2401878386735916,0.49828141927719116,0.24002857506275177,0,,,,,,,,,,,,,
