lr-AdamW,step,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric,epoch,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.7633315920829773,0.26258644461631775,101.972412109375,1.449684977531433,1.449684977531433,0.2734000086784363,0.2734000086784363,0.2713371515274048,0.5033142566680908,0.5033142566680908,0.24974939227104187,0.2734000086784363,0.5033142566680908,0.2738898992538452,0.5037299990653992,0.2734000086784363,0,,,,,,,,,,,,,
1.1182382915795542e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,0,0.7689645290374756,0.26996344327926636,0.2805129885673523,0.2763671875,0.2763671875,0.2621910572052002,0.51953125,0.51953125,0.2763671875,0.51953125,0.2765892446041107,0.5202654600143433,2.682588577270508
,67,0.7632906436920166,0.2625236511230469,101.97317504882812,1.4424511194229126,1.4424511194229126,0.26737141609191895,0.26737141609191895,0.2649167776107788,0.5067142844200134,0.5067142844200134,0.252758264541626,0.26737141609191895,0.5067142844200134,0.26796168088912964,0.5078346729278564,0.26737141609191895,0,,,,,,,,,,,,,
1.4825370244160239e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,0,0.7709850668907166,0.27171868085861206,0.2602390944957733,0.26171875,0.26171875,0.26401466131210327,0.5283203125,0.5283203125,0.26171875,0.5283203125,0.2607341706752777,0.526953935623169,2.6872968673706055
,101,0.7629775404930115,0.26225167512893677,101.97428894042969,1.4372355937957764,1.4372355937957764,0.2750857174396515,0.2750857174396515,0.27482882142066956,0.5132856965065002,0.5132856965065002,0.25604164600372314,0.2750857174396515,0.5132856965065002,0.27508658170700073,0.5130510330200195,0.2750857174396515,0,,,,,,,,,,,,,
,135,0.7631101012229919,0.262334406375885,101.97552490234375,1.4344555139541626,1.4344555139541626,0.2678857147693634,0.2678857147693634,0.2694406807422638,0.5118571519851685,0.5118571519851685,0.2566612660884857,0.2678857147693634,0.5118571519851685,0.2681572735309601,0.5122993588447571,0.2678857147693634,0,,,,,,,,,,,,,
2.092585928966765e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
