lr-AdamW,step,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric,epoch,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.7629339098930359,0.26261115074157715,34.02186584472656,1.4308838844299316,1.4308838844299316,0.24902857840061188,0.24902857840061188,0.2764747142791748,0.5123142600059509,0.5123142600059509,0.27614548802375793,0.24902857840061188,0.5123142600059509,0.24775022268295288,0.5099008679389954,0.24902857840061188,0,,,,,,,,,,,,,
1.189323436817763e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,0,0.7707443237304688,0.271404892206192,0.25832030177116394,0.2509765625,0.2509765625,0.2607796788215637,0.5126953125,0.5126953125,0.2509765625,0.5126953125,0.2550216317176819,0.5174580216407776,2.2462823390960693
,67,0.7629261016845703,0.26259592175483704,34.02214431762695,1.4249998331069946,1.4249998331069946,0.24857142567634583,0.24857142567634583,0.2763175070285797,0.5093142986297607,0.5093142986297607,0.2769858241081238,0.24857142567634583,0.5093142986297607,0.24857184290885925,0.5095455050468445,0.24857142567634583,0,,,,,,,,,,,,,
1.7726394439046153e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,0,0.7727303504943848,0.2734606862068176,0.24491630494594574,0.2431640625,0.2431640625,0.24577674269676208,0.48828125,0.48828125,0.2431640625,0.48828125,0.2426183968782425,0.4863130748271942,2.2958924770355225
,101,0.7628726363182068,0.2625349462032318,34.022518157958984,1.4193190336227417,1.4193190336227417,0.24965716898441315,0.24965716898441315,0.2868340313434601,0.5157714486122131,0.5157714486122131,0.2790124714374542,0.24965713918209076,0.5157714486122131,0.2507472336292267,0.5169909596443176,0.24965716898441315,0,,,,,,,,,,,,,
,135,0.7624962329864502,0.26214128732681274,34.02304458618164,1.4099972248077393,1.4099972248077393,0.2589714229106903,0.2589714229106903,0.2892048954963684,0.5201143026351929,0.5201143026351929,0.27886614203453064,0.2589714229106903,0.5201143026351929,0.2591206133365631,0.5206204056739807,0.2589714229106903,0,,,,,,,,,,,,,
2.7494512169227363e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,0,0.7710593938827515,0.27166664600372314,0.2632458806037903,0.2568359375,0.2568359375,0.25689321756362915,0.5078125,0.5078125,0.2568359375,0.5078125,0.25762802362442017,0.5086417198181152,2.1250336170196533
,169,0.7622482776641846,0.26187923550605774,34.023685455322266,1.4017030000686646,1.4017030000686646,0.2638285756111145,0.2638285756111145,0.2893502712249756,0.528942883014679,0.528942883014679,0.2798648178577423,0.2638285756111145,0.528942883014679,0.26274341344833374,0.5273252129554749,0.2638285756111145,0,,,,,,,,,,,,,
4.1187947605840046e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,,,0,0.7705957889556885,0.2712019681930542,0.25647544860839844,0.2529296875,0.2529296875,0.25933438539505005,0.5146484375,0.5146484375,0.2529296875,0.5146484375,0.2518172264099121,0.5153424739837646,2.103930711746216
,203,0.7619858980178833,0.26160603761672974,34.024566650390625,1.3945646286010742,1.3945646286010742,0.2657428979873657,0.2657428979873657,0.287066787481308,0.5334857106208801,0.5334857106208801,0.27972790598869324,0.26574286818504333,0.5334857106208801,0.26532691717147827,0.5328666567802429,0.2657428979873657,0,,,,,,,,,,,,,
,237,0.7614427804946899,0.261043906211853,34.02567672729492,1.3849982023239136,1.3849982023239136,0.2832857072353363,0.2832857072353363,0.30894169211387634,0.5492285490036011,0.5492285490036011,0.2889137268066406,0.2832857072353363,0.5492285490036011,0.2830265462398529,0.5489658713340759,0.2832857072353363,0,,,,,,,,,,,,,
5.8793186981337385e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,,,0,0.7672866582870483,0.2677241563796997,0.25855207443237305,0.255859375,0.255859375,0.26051145792007446,0.51953125,0.51953125,0.255859375,0.51953125,0.2569011449813843,0.5208672881126404,2.0670995712280273
,271,0.7610127329826355,0.2606000304222107,34.027042388916016,1.3770920038223267,1.3770920038223267,0.29354286193847656,0.29354286193847656,0.31377115845680237,0.5607714056968689,0.5607714056968689,0.2932814061641693,0.29354286193847656,0.5607714056968689,0.29313358664512634,0.5600965619087219,0.29354286193847656,0,,,,,,,,,,,,,
8.02928560499617e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,,,,,,,,,,,,,,,,,0,0.7683148980140686,0.26869678497314453,0.2632898688316345,0.26171875,0.26171875,0.25580328702926636,0.509765625,0.509765625,0.26171875,0.509765625,0.26128700375556946,0.51003497838974,1.9672245979309082
,305,0.760675847530365,0.26025328040122986,34.028743743896484,1.3714327812194824,1.3714327812194824,0.29762858152389526,0.29762858152389526,0.32248008251190186,0.5717714428901672,0.5717714428901672,0.3015482723712921,0.29762858152389526,0.5717714428901672,0.2978571057319641,0.5719695091247559,0.29762858152389526,0,,,,,,,,,,,,,
,339,0.7602241039276123,0.25978806614875793,34.030765533447266,1.3641808032989502,1.3641808032989502,0.3132857084274292,0.3132857084274292,0.3431239724159241,0.5821999907493591,0.5821999907493591,0.3081680238246918,0.3132857084274292,0.5821999907493591,0.3137969970703125,0.5831489562988281,0.3132857084274292,0,,,,,,,,,,,,,
1.0566573723402882e-05,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,,,,,,,,,,,,,,,,,0,0.7642260193824768,0.2644478678703308,0.2690269351005554,0.26953125,0.26953125,0.2639004588127136,0.52734375,0.52734375,0.26953125,0.52734375,0.2684677243232727,0.5268663763999939,1.8606852293014526
,373,0.7595353722572327,0.2590825855731964,34.03313446044922,1.3542956113815308,1.3542956113815308,0.32748571038246155,0.32748571038246155,0.35714268684387207,0.5970285534858704,0.5970285534858704,0.3151888847351074,0.32748571038246155,0.5970285534858704,0.32706373929977417,0.5962818264961243,0.32748571038246155,0,,,,,,,,,,,,,
1.3488679056311573e-05,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,,,,,,,,,,,,,,,,,0,0.7683262825012207,0.2686556577682495,0.2561195492744446,0.2529296875,0.2529296875,0.2529296875,0.5009765625,0.5009765625,0.2529296875,0.5009765625,0.25239333510398865,0.5006266236305237,1.9049980640411377
,407,0.7590287923812866,0.2585630714893341,34.035884857177734,1.3472105264663696,1.3472105264663696,0.3410285711288452,0.3410285711288452,0.3732838034629822,0.6099143028259277,0.6099143028259277,0.32350993156433105,0.3410285711288452,0.6099143028259277,0.3406381607055664,0.6093785166740417,0.3410285711288452,0,,,,,,,,,,,,,
,441,0.7585237622261047,0.2580462098121643,34.03893280029297,1.3393476009368896,1.3393476009368896,0.35925713181495667,0.35925713181495667,0.39549750089645386,0.6267714500427246,0.6267714500427246,0.33609649538993835,0.35925713181495667,0.6267714500427246,0.3585742115974426,0.6265287399291992,0.35925713181495667,0,,,,,,,,,,,,,
1.6792717838548614e-05,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,,,,,,,,,,,,,,,,,0,0.7628929018974304,0.2629658579826355,0.29513442516326904,0.294921875,0.294921875,0.2684314250946045,0.533203125,0.533203125,0.294921875,0.533203125,0.29534053802490234,0.5332635641098022,1.7259652614593506
,475,0.7580839395523071,0.257596880197525,34.04251480102539,1.3338251113891602,1.3338251113891602,0.3614000082015991,0.3614000082015991,0.40316689014434814,0.6330571174621582,0.6330571174621582,0.3404558300971985,0.3614000082015991,0.6330571174621582,0.3614947199821472,0.6333396434783936,0.3614000082015991,0,,,,,,,,,,,,,
2.047542938273745e-05,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,,,,,,,,,,,,,,,,,0,0.7629631757736206,0.2629728317260742,0.2835385203361511,0.2802734375,0.2802734375,0.2685578465461731,0.533203125,0.533203125,0.2802734375,0.533203125,0.28077542781829834,0.5333755016326904,1.6662465333938599
