lr-AdamW,step,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s,epoch,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0708481947540813e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.7719758749008179,0.2726961374282837,0.2530058026313782,0.2542317509651184,0.2542317509651184,0.2502010464668274,0.4986979365348816,0.4986979365348816,0.2542317807674408,0.4986979067325592,0.2544645071029663,0.49910879135131836,2.2842507362365723,0,,,,,,,,,,,,,,,,
1.2891354114236294e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.7730191946029663,0.27375394105911255,0.23977451026439667,0.2392578125,0.2392578125,0.2485266923904419,0.4967447817325592,0.4967447817325592,0.2392578125,0.4967447817325592,0.2385936677455902,0.4959051311016083,2.2204179763793945,0,,,,,,,,,,,,,,,,
1.6546757369961176e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.7750722765922546,0.2759166359901428,0.22966572642326355,0.2301432341337204,0.2301432341337204,0.23685069382190704,0.4736328125,0.4736328125,0.2301432341337204,0.4736328125,0.22951790690422058,0.47333115339279175,2.278318405151367,0,,,,,,,,,,,,,,,,
2.1671084273023994e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.7726726531982422,0.2733668386936188,0.23455044627189636,0.2340494841337204,0.2340494841337204,0.24523484706878662,0.4899088442325592,0.4899088442325592,0.2340494841337204,0.4899088442325592,0.23418313264846802,0.4904724657535553,2.1971945762634277,0,,,,,,,,,,,,,,,,
,226,,,,,,,,,,,,,,0,0.7635910511016846,0.26324403285980225,34.04830551147461,1.4119960069656372,1.4119960069656372,0.2546185851097107,0.2546185851097107,0.25524571537971497,0.5106128454208374,0.5106128454208374,0.25579139590263367,0.2546185851097107,0.5106128454208374,0.25451382994651794,0.5104690194129944,0.2546185851097107
2.8259277731439145e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,0.7699156999588013,0.2704574763774872,0.25168293714523315,0.251953125,0.251953125,0.25632408261299133,0.5126953125,0.5126953125,0.251953125,0.5126953125,0.2521764636039734,0.5127758979797363,2.072993755340576,0,,,,,,,,,,,,,,,,
3.630483599366526e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,0.7709177732467651,0.27152401208877563,0.23786576092243195,0.2373046875,0.2373046875,0.25363123416900635,0.5068359375,0.5068359375,0.2373046875,0.5068359375,0.23739130795001984,0.50690758228302,2.1061596870422363,0,,,,,,,,,,,,,,,,
4.579981906504957e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,0.7682192325592041,0.2686530351638794,0.25489887595176697,0.2552083432674408,0.2552083432674408,0.2535991668701172,0.5068359375,0.5068359375,0.2552083432674408,0.5068359375,0.25547370314598083,0.506880521774292,2.0080647468566895,0,,,,,,,,,,,,,,,,
5.673485654364405e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,0.7688443064689636,0.2692544460296631,0.2537307143211365,0.2535807192325592,0.2535807192325592,0.2579914331436157,0.5159505605697632,0.5159505605697632,0.2535807192325592,0.5159505009651184,0.253177285194397,0.5156290531158447,1.9848592281341553,0,,,,,,,,,,,,,,,,
6.909915686766e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,0.7679993510246277,0.2683514952659607,0.2547775208950043,0.25390625,0.25390625,0.2541666030883789,0.5074869990348816,0.5074869990348816,0.25390625,0.5074869990348816,0.25395774841308594,0.5076805353164673,1.9248073101043701,0,,,,,,,,,,,,,,,,
,453,,,,,,,,,,,,,,0,0.7600536346435547,0.2596037685871124,34.05744171142578,1.3577601909637451,1.3577601909637451,0.33994144201278687,0.33994144201278687,0.35020336508750916,0.6047985553741455,0.6047985553741455,0.3082534372806549,0.33994144201278687,0.6047985553741455,0.34002020955085754,0.6048600077629089,0.33994144201278687
8.2880517965438e-06,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,0.7665021419525146,0.2667417526245117,0.2665368318557739,0.2659505307674408,0.2659505307674408,0.2622973322868347,0.5234375,0.5234375,0.2659505307674408,0.5234375,0.26592546701431274,0.5233889818191528,1.8401172161102295,0,,,,,,,,,,,,,,,,
9.806533929741839e-06,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,549,0.7645575404167175,0.2646934986114502,0.2675032615661621,0.2672526240348816,0.2672526240348816,0.26855161786079407,0.537109375,0.537109375,0.2672525942325592,0.537109375,0.2672123312950134,0.5372345447540283,1.7513505220413208,0,,,,,,,,,,,,,,,,
1.1463863527823197e-05,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,0.7614390254020691,0.2614443004131317,0.29586830735206604,0.294921875,0.294921875,0.27736571431159973,0.5533854365348816,0.5533854365348816,0.294921875,0.5533854365348816,0.294924259185791,0.5533500909805298,1.6680359840393066,0,,,,,,,,,,,,,,,,
1.325840500656642e-05,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,0.763818621635437,0.26383933424949646,0.2801956832408905,0.2796223759651184,0.2796223759651184,0.26426953077316284,0.5276692509651184,0.5276692509651184,0.2796224057674408,0.5276692509651184,0.2800774872303009,0.5278847217559814,1.6762219667434692,0,,,,,,,,,,,,,,,,
,680,,,,,,,,,,,,,,0,0.756780207157135,0.25626322627067566,34.07649230957031,1.3149569034576416,1.3149569034576416,0.4166671335697174,0.4166671335697174,0.43858978152275085,0.6834757328033447,0.6834757328033447,0.35363540053367615,0.4166671335697174,0.6834757328033447,0.4166091978549957,0.6834474205970764,0.4166671335697174
1.51883873701896e-05,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,0.7615669965744019,0.2614731788635254,0.2894332706928253,0.2897135615348816,0.2897135615348816,0.27216532826423645,0.5432943105697632,0.5432943105697632,0.2897135317325592,0.5432942509651184,0.2894324064254761,0.5432430505752563,1.5915247201919556,0,,,,,,,,,,,,,,,,
1.7251905959109433e-05,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,0.7611478567123413,0.2609940767288208,0.2871106266975403,0.2867838442325592,0.2867838442325592,0.2770739197731018,0.5517578125,0.5517578125,0.2867838442325592,0.5517578125,0.286793053150177,0.551127552986145,1.5588386058807373,0,,,,,,,,,,,,,,,,
1.9446924329610258e-05,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,0.7592920064926147,0.2590646743774414,0.3039608299732208,0.3037109375,0.3037109375,0.2864704132080078,0.5703125,0.5703125,0.3037109375,0.5703125,0.3037170469760895,0.5701602101325989,1.4992241859436035,0,,,,,,,,,,,,,,,,
2.1771276263568193e-05,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,849,0.7586595416069031,0.2583896219730377,0.3120768070220947,0.3125,0.3125,0.28772836923599243,0.5748697519302368,0.5748697519302368,0.3125,0.5748698115348816,0.3138093948364258,0.5759590268135071,1.4728165864944458,0,,,,,,,,,,,,,,,,
2.4222667906246846e-05,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,899,0.7581078410148621,0.2578004002571106,0.32112932205200195,0.3209635317325592,0.3209635317325592,0.293850302696228,0.5836588740348816,0.5836588740348816,0.3209635317325592,0.5836588740348816,0.3197288513183594,0.5829402208328247,1.4510772228240967,0,,,,,,,,,,,,,,,,
,907,,,,,,,,,,,,,,0,0.7541373372077942,0.25358620285987854,34.10361862182617,1.2863575220108032,1.2863575220108032,0.4594857096672058,0.4594857096672058,0.4683345556259155,0.7200614213943481,0.7200614213943481,0.37040799856185913,0.4594857096672058,0.7200614213943481,0.45959219336509705,0.7200929522514343,0.4594857096672058
2.6798680030054955e-05,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,949,0.7569670677185059,0.2566218078136444,0.32746627926826477,0.3287760317325592,0.3287760317325592,0.305650532245636,0.6100260019302368,0.6100260019302368,0.3287760317325592,0.6100260615348816,0.32938551902770996,0.6099622845649719,1.4159314632415771,0,,,,,,,,,,,,,,,,
2.9496770422032045e-05,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,0.7553097605705261,0.25492697954177856,0.35792458057403564,0.3606770634651184,0.3606770634651184,0.30727773904800415,0.6090494394302368,0.6090494394302368,0.3606770932674408,0.6090494990348816,0.35965996980667114,0.608208417892456,1.3983665704727173,0,,,,,,,,,,,,,,,,
3.231427639270565e-05,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1049,0.7560202479362488,0.25563502311706543,0.33377140760421753,0.3372395634651184,0.3372395634651184,0.30083000659942627,0.5963541269302368,0.5963541269302368,0.3372395932674408,0.5963541865348816,0.33656632900238037,0.5958797931671143,1.3957949876785278,0,,,,,,,,,,,,,,,,
3.524841740384432e-05,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1099,0.7548221349716187,0.2544134855270386,0.3471934199333191,0.3515625,0.3515625,0.31030434370040894,0.6162109375,0.6162109375,0.3515625,0.6162109375,0.3511160612106323,0.6162291169166565,1.3713862895965576,0,,,,,,,,,,,,,,,,
,1134,,,,,,,,,,,,,,0,0.7499030232429504,0.24934788048267365,34.132450103759766,1.2539119720458984,1.2539119720458984,0.46856287121772766,0.46856287121772766,0.4696807563304901,0.7285656929016113,0.7285656929016113,0.36757054924964905,0.46856287121772766,0.7285656929016113,0.4689691662788391,0.7288461327552795,0.46856287121772766
3.829629781251321e-05,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1149,0.7537829279899597,0.2533637285232544,0.3483881950378418,0.3551432490348816,0.3551432490348816,0.3141648471355438,0.625,0.625,0.3551432192325592,0.625,0.35798776149749756,0.6268025636672974,1.3536419868469238,0,,,,,,,,,,,,,,,,
4.145490972872402e-05,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1199,0.7533175349235535,0.2528934180736542,0.37020114064216614,0.3776041865348816,0.3776041865348816,0.3176254630088806,0.6295572519302368,0.6295572519302368,0.3776041567325592,0.6295573115348816,0.37659820914268494,0.629001259803772,1.3550522327423096,0,,,,,,,,,,,,,,,,
4.472113598385928e-05,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1249,0.7528656721115112,0.2524333596229553,0.3555126190185547,0.3655599057674408,0.3655599057674408,0.31723034381866455,0.6259765625,0.6259765625,0.3655599057674408,0.6259765625,0.3643353581428528,0.6253669261932373,1.3455334901809692,0,,,,,,,,,,,,,,,,
4.809175320694145e-05,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1299,0.7517571449279785,0.2513212561607361,0.37584030628204346,0.3824869692325592,0.3824869692325592,0.32359325885772705,0.6402994394302368,0.6402994394302368,0.3824869692325592,0.6402994990348816,0.38287341594696045,0.6411850452423096,1.3333618640899658,0,,,,,,,,,,,,,,,,
5.1563435005710904e-05,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1349,0.7504803538322449,0.25003358721733093,0.3893880546092987,0.3974609375,0.3974609375,0.33527153730392456,0.6686198115348816,0.6686198115348816,0.3974609375,0.6686198115348816,0.4015316665172577,0.6699710488319397,1.3162517547607422,0,,,,,,,,,,,,,,,,
,1361,,,,,,,,,,,,,,0,0.7455618977546692,0.24506479501724243,34.15829086303711,1.231352686882019,1.231352686882019,0.46837571263313293,0.46837571263313293,0.4764176905155182,0.7309428453445435,0.7309428453445435,0.3642190098762512,0.46837571263313293,0.7309428453445435,0.46831902861595154,0.7310564517974854,0.46837571263313293
5.513275524937346e-05,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1399,0.7500802278518677,0.2496337592601776,0.40157341957092285,0.4108073115348816,0.4108073115348816,0.33403730392456055,0.6575521230697632,0.6575521230697632,0.4108072817325592,0.6575520634651184,0.4071735143661499,0.6557259559631348,1.3144303560256958,0,,,,,,,,,,,,,,,,
5.8796191449777903e-05,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1449,0.7485312819480896,0.24808017909526825,0.40503695607185364,0.4156901240348816,0.4156901240348816,0.342289000749588,0.6764322519302368,0.6764322519302368,0.4156900942325592,0.6764323115348816,0.4153014123439789,0.6757912635803223,1.2923763990402222,0,,,,,,,,,,,,,,,,
6.255012823768644e-05,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1499,0.7474619746208191,0.24702124297618866,0.4147515892982483,0.4251302182674408,0.4251302182674408,0.33859947323799133,0.6722005009651184,0.6722005009651184,0.4251302182674408,0.6722005009651184,0.4294166564941406,0.6737302541732788,1.2860137224197388,0,,,,,,,,,,,,,,,,
6.639086093070764e-05,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1549,0.7475069761276245,0.2470748871564865,0.3971328139305115,0.4124349057674408,0.4124349057674408,0.34365788102149963,0.6790364384651184,0.6790364384651184,0.4124349057674408,0.6790364384651184,0.41375452280044556,0.679863452911377,1.2884336709976196,0,,,,,,,,,,,,,,,,
,1588,,,,,,,,,,,,,,0,0.7418211698532104,0.2414393275976181,34.17693328857422,1.223717451095581,1.223717451095581,0.46728143095970154,0.46728143095970154,0.4808371067047119,0.7291871309280396,0.7291871309280396,0.3636721968650818,0.46728143095970154,0.7291871309280396,0.46722134947776794,0.7291706204414368,0.46728143095970154
7.031459918937087e-05,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1599,0.7467310428619385,0.24629458785057068,0.4188392162322998,0.4332682192325592,0.4332682192325592,0.3532571494579315,0.6949869394302368,0.6949869394302368,0.4332682192325592,0.6949869990348816,0.43059104681015015,0.6936604380607605,1.2762359380722046,0,,,,,,,,,,,,,,,,
7.431747075773341e-05,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1649,0.7449793219566345,0.24455246329307556,0.43204841017723083,0.4404296875,0.4404296875,0.36190488934516907,0.7102864980697632,0.7102864980697632,0.4404296875,0.7102864384651184,0.4397599399089813,0.7101354598999023,1.2563154697418213,0,,,,,,,,,,,,,,,,
7.839552528482986e-05,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1699,0.7463752627372742,0.24594679474830627,0.4144860506057739,0.4261067807674408,0.4261067807674408,0.34892043471336365,0.68359375,0.68359375,0.4261067807674408,0.68359375,0.42670759558677673,0.6836955547332764,1.2738754749298096,0,,,,,,,,,,,,,,,,
8.254473822319143e-05,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1749,0.7445892095565796,0.24417847394943237,0.42837241291999817,0.4391276240348816,0.4391276240348816,0.35634732246398926,0.6988932490348816,0.6988932490348816,0.4391275942325592,0.6988932490348816,0.43973788619041443,0.6994142532348633,1.2535640001296997,0,,,,,,,,,,,,,,,,
8.676101480058852e-05,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1799,0.7442847490310669,0.24387672543525696,0.43680793046951294,0.4482421875,0.4482421875,0.35646748542785645,0.703125,0.703125,0.4482421875,0.703125,0.4487110376358032,0.7019117474555969,1.2525886297225952,0,,,,,,,,,,,,,,,,
,1815,,,,,,,,,,,,,,0,0.7396678328514099,0.23935741186141968,34.1916389465332,1.2162432670593262,1.2162432670593262,0.47378572821617126,0.47378572821617126,0.48737701773643494,0.7333456873893738,0.7333456873893738,0.3663036525249481,0.47378572821617126,0.7333456873893738,0.473957896232605,0.7334264516830444,0.47378572821617126
9.10401940610765e-05,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1849,0.744705080986023,0.24428468942642212,0.4403715133666992,0.4514974057674408,0.4514974057674408,0.3625536561012268,0.708984375,0.708984375,0.4514974057674408,0.708984375,0.4504757821559906,0.7089385986328125,1.2587392330169678,0,,,,,,,,,,,,,,,,
9.537805297135683e-05,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1899,0.7411762475967407,0.24080513417720795,0.46580109000205994,0.4759114682674408,0.4759114682674408,0.3678007125854492,0.7184244990348816,0.7184244990348816,0.4759114682674408,0.7184244990348816,0.47504374384880066,0.7185498476028442,1.2264621257781982,0,,,,,,,,,,,,,,,,
9.977031058840114e-05,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1949,0.7439970374107361,0.24360522627830505,0.4429003596305847,0.4534505009651184,0.4534505009651184,0.3610060214996338,0.7063801884651184,0.7063801884651184,0.4534505307674408,0.7063801884651184,0.45421886444091797,0.7067641019821167,1.2599931955337524,0,,,,,,,,,,,,,,,,
0.00010421263228422508,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,0.7422157526016235,0.24184858798980713,0.4591970145702362,0.4661458134651184,0.4661458134651184,0.366057813167572,0.7093099355697632,0.7093099355697632,0.4661458432674408,0.7093098759651184,0.4619481563568115,0.7085241675376892,1.2444931268692017,0,,,,,,,,,,,,,,,,
,2042,,,,,,,,,,,,,,0,0.7383501529693604,0.23806814849376678,34.199832916259766,1.2040791511535645,1.2040791511535645,0.4807957112789154,0.4807957112789154,0.4932038486003876,0.7407143115997314,0.7407143115997314,0.37030768394470215,0.4807957112789154,0.7407143115997314,0.48037946224212646,0.7405207753181458,0.4807957112789154
0.00010870063402364284,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2049,0.7405816912651062,0.2402437925338745,0.46638578176498413,0.4762369990348816,0.4762369990348816,0.3715169429779053,0.7265625,0.7265625,0.4762369692325592,0.7265625,0.4768161177635193,0.726719856262207,1.2289716005325317,0,,,,,,,,,,,,,,,,
0.00011322988669078062,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2099,0.74213045835495,0.24176082015037537,0.45031723380088806,0.4599609375,0.4599609375,0.3623743951320648,0.7093099355697632,0.7093099355697632,0.4599609375,0.7093098759651184,0.46265292167663574,0.710693895816803,1.2431329488754272,0,,,,,,,,,,,,,,,,
0.00011779592046007935,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2149,0.7398907542228699,0.2395513355731964,0.469523161649704,0.4791666567325592,0.4791666567325592,0.37726667523384094,0.7307942509651184,0.7307942509651184,0.4791666567325592,0.7307942509651184,0.47477075457572937,0.7295448780059814,1.2163219451904297,0,,,,,,,,,,,,,,,,
0.00012239422920747256,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2199,0.738908052444458,0.23859617114067078,0.4728214144706726,0.4840494692325592,0.4840494692325592,0.38193607330322266,0.7412109375,0.7412109375,0.4840494692325592,0.7412109375,0.48261699080467224,0.7410482168197632,1.2061692476272583,0,,,,,,,,,,,,,,,,
0.0001270202749573872,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2249,0.7401551604270935,0.2398373782634735,0.463670015335083,0.4726562798023224,0.4726562798023224,0.37266695499420166,0.7220052480697632,0.7220052480697632,0.47265625,0.7220051884651184,0.47070950269699097,0.7209286093711853,1.2303582429885864,0,,,,,,,,,,,,,,,,
,2269,,,,,,,,,,,,,,0,0.7373629212379456,0.23710934817790985,34.20580291748047,1.1976946592330933,1.1976946592330933,0.48557141423225403,0.48557141423225403,0.4956797659397125,0.744208574295044,0.744208574295044,0.3734656572341919,0.48557141423225403,0.744208574295044,0.4856046736240387,0.7442122101783752,0.48557141423225403
0.00013166949236117733,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2299,0.7376837730407715,0.2373964637517929,0.4884965121746063,0.498046875,0.498046875,0.3787877559661865,0.7360026240348816,0.7360026240348816,0.498046875,0.7360026240348816,0.49438413977622986,0.7340995669364929,1.197708249092102,0,,,,,,,,,,,,,,,,
0.00013633729320257224,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2349,0.7393648624420166,0.23905456066131592,0.47688642144203186,0.4840494692325592,0.4840494692325592,0.3736494779586792,0.7265625,0.7265625,0.4840494692325592,0.7265625,0.4845404624938965,0.7268365621566772,1.2182751893997192,0,,,,,,,,,,,,,,,,
0.00014101907092569187,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2399,0.7367691993713379,0.23652587831020355,0.4858134090900421,0.4934895932674408,0.4934895932674408,0.3790607750415802,0.7376301884651184,0.7376301884651184,0.4934895932674408,0.7376301884651184,0.4925568997859955,0.738132119178772,1.1909018754959106,0,,,,,,,,,,,,,,,,
0.0001457102051811614,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2449,0.7369267344474792,0.23668061196804047,0.4868643283843994,0.494140625,0.494140625,0.38946717977523804,0.7552083134651184,0.7552083134651184,0.494140625,0.7552083134651184,0.4943334460258484,0.7549582123756409,1.1967157125473022,0,,,,,,,,,,,,,,,,
,2496,,,,,,,,,,,,,,0,0.7357589602470398,0.23554345965385437,34.212318420410156,1.1815379858016968,1.1815379858016968,0.5011399984359741,0.5011399984359741,0.5069323182106018,0.7558057308197021,0.7558057308197021,0.3784741163253784,0.5011399984359741,0.7558057308197021,0.5012487769126892,0.7558475732803345,0.5011399984359741
0.0001504060663858382,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2499,0.736919105052948,0.23666048049926758,0.494573712348938,0.5013021230697632,0.5013021230697632,0.38172104954719543,0.7464192509651184,0.7464192509651184,0.5013020634651184,0.7464192509651184,0.50384521484375,0.74687659740448,1.1922234296798706,0,,,,,,,,,,,,,,,,
0.00015510202029165145,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2549,0.7356190085411072,0.23541197180747986,0.5076582431793213,0.5143228769302368,0.5143228769302368,0.3866115212440491,0.7561848759651184,0.7561848759651184,0.5143229365348816,0.7561848759651184,0.5154887437820435,0.7559596300125122,1.1831942796707153,0,,,,,,,,,,,,,,,,
0.0001597934325590455,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2599,0.7349233627319336,0.23472648859024048,0.5076625943183899,0.5139974355697632,0.5139974355697632,0.39371031522750854,0.7568359375,0.7568359375,0.5139973759651184,0.7568359375,0.5103344917297363,0.7562977075576782,1.1789437532424927,0,,,,,,,,,,,,,,,,
0.00016447567333051347,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2649,0.7361311912536621,0.235915869474411,0.49389755725860596,0.4993489682674408,0.4993489682674408,0.37829703092575073,0.7438150644302368,0.7438150644302368,0.4993489682674408,0.7438151240348816,0.5038288831710815,0.7440689206123352,1.1907532215118408,0,,,,,,,,,,,,,,,,
0.00016914412179970772,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2699,0.7337755560874939,0.23362508416175842,0.5107421875,0.5192056894302368,0.5192056894302368,0.38206470012664795,0.748046875,0.748046875,0.5192057490348816,0.748046875,0.5219550728797913,0.7483144998550415,1.1724449396133423,0,,,,,,,,,,,,,,,,
,2723,,,,,,,,,,,,,,0,0.7337716817855835,0.23364435136318207,34.222564697265625,1.1737916469573975,1.1737916469573975,0.509660005569458,0.509660005569458,0.5121058821678162,0.7627628445625305,0.7627628445625305,0.38224682211875916,0.509660005569458,0.7627628445625305,0.5096614956855774,0.7627529501914978,0.509660005569458
0.00017379417077161772,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2749,0.7340537905693054,0.23390159010887146,0.5139309167861938,0.5205078125,0.5205078125,0.3914453387260437,0.7633463144302368,0.7633463144302368,0.5205078125,0.7633463740348816,0.5209888815879822,0.763733983039856,1.1744558811187744,0,,,,,,,,,,,,,,,,
