lr-AdamW,step,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric,epoch,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.7690258622169495,0.2678634524345398,203.8957061767578,1.619098424911499,1.619098424911499,0.23260000348091125,0.23260000348091125,0.23918063938617706,0.48577141761779785,0.48577141761779785,0.24312524497509003,0.23260000348091125,0.48577141761779785,0.2319597452878952,0.4848180115222931,0.23260000348091125,0,,,,,,,,,,,,,
1.1182382915795542e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,0,0.7689430117607117,0.27037161588668823,0.2833518981933594,0.2802734375,0.2802734375,0.26215940713882446,0.5234375,0.5234375,0.2802734375,0.5234375,0.280361533164978,0.5233451128005981,3.2788002490997314
,67,0.7670111060142517,0.2660428583621979,203.89736938476562,1.5649276971817017,1.5649276971817017,0.24231427907943726,0.24231427907943726,0.24944424629211426,0.49062857031822205,0.49062857031822205,0.24746066331863403,0.24231427907943726,0.49062857031822205,0.24220658838748932,0.490330308675766,0.24231427907943726,0,,,,,,,,,,,,,
1.4825370244160239e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,0,0.7781211137771606,0.2780715227127075,0.23028650879859924,0.228515625,0.228515625,0.2469952553510666,0.4873046875,0.4873046875,0.228515625,0.4873046875,0.23086148500442505,0.4912285804748535,3.3654685020446777
,101,0.7661340236663818,0.2652001976966858,203.89891052246094,1.5313721895217896,1.5313721895217896,0.2467714250087738,0.2467714250087738,0.253624826669693,0.4904285669326782,0.4904285669326782,0.24746879935264587,0.2467714250087738,0.4904285669326782,0.2471734881401062,0.4909178614616394,0.2467714250087738,0,,,,,,,,,,,,,
,135,0.7650404572486877,0.26423367857933044,203.90142822265625,1.5031464099884033,1.5031464099884033,0.25277143716812134,0.25277143716812134,0.2577498257160187,0.5034571290016174,0.5034571290016174,0.2546916604042053,0.25277143716812134,0.5034571290016174,0.25269627571105957,0.5037354230880737,0.25277143716812134,0,,,,,,,,,,,,,
2.092585928966765e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,0,0.7739818096160889,0.2743935286998749,0.24438723921775818,0.2451171875,0.2451171875,0.253734827041626,0.5068359375,0.5068359375,0.2451171875,0.5068359375,0.2450055480003357,0.5066403150558472,3.156183958053589
,169,0.7640349268913269,0.2633318305015564,203.90463256835938,1.4785231351852417,1.4785231351852417,0.2566285729408264,0.2566285729408264,0.2616192102432251,0.500085711479187,0.500085711479187,0.2527751624584198,0.2566285729408264,0.500085711479187,0.25721317529678345,0.5010070204734802,0.2566285729408264,0,,,,,,,,,,,,,
2.9477829606150416e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,,,0,0.7712972164154053,0.27188432216644287,0.2658967077732086,0.2626953125,0.2626953125,0.2577502131462097,0.5126953125,0.5126953125,0.2626953125,0.5126953125,0.2618483006954193,0.5125044584274292,2.883089303970337
,203,0.7635288238525391,0.2628856599330902,203.90892028808594,1.4679033756256104,1.4679033756256104,0.2563142776489258,0.2563142776489258,0.25857076048851013,0.508314311504364,0.508314311504364,0.2562596797943115,0.2563142776489258,0.508314311504364,0.255948543548584,0.5081244707107544,0.2563142776489258,0,,,,,,,,,,,,,
,237,0.7627220153808594,0.26215842366218567,203.91342163085938,1.4480555057525635,1.4480555057525635,0.26579999923706055,0.26579999923706055,0.2689783275127411,0.5163142681121826,0.5163142681121826,0.2600087821483612,0.26579999923706055,0.5163142681121826,0.2656722962856293,0.5161141157150269,0.26579999923706055,0,,,,,,,,,,,,,
4.047284143139844e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,,,0,0.7765166759490967,0.2763230502605438,0.23411652445793152,0.2333984375,0.2333984375,0.24900446832180023,0.4970703125,0.4970703125,0.2333984375,0.4970703125,0.23279786109924316,0.4964263141155243,2.9244954586029053
,271,0.762242317199707,0.2617329955101013,203.919189453125,1.4376931190490723,1.4376931190490723,0.26917141675949097,0.26917141675949097,0.27317366003990173,0.5192000269889832,0.5192000269889832,0.26215076446533203,0.26917141675949097,0.5192000269889832,0.269056499004364,0.5188718438148499,0.26917141675949097,0,,,,,,,,,,,,,
5.3900044016183834e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,,,,,,,,,,,,,,,,,0,0.7708724737167358,0.271595299243927,0.26850587129592896,0.2685546875,0.2685546875,0.25084513425827026,0.5009765625,0.5009765625,0.2685546875,0.5009765625,0.2688922882080078,0.5008628368377686,2.761744499206543
,305,0.7622241973876953,0.2617051899433136,203.92572021484375,1.4288357496261597,1.4288357496261597,0.26737141609191895,0.26737141609191895,0.27297988533973694,0.5242000222206116,0.5242000222206116,0.26484373211860657,0.26737141609191895,0.5242000222206116,0.26771703362464905,0.5244693160057068,0.26737141609191895,0,,,,,,,,,,,,,
,339,0.7620218396186829,0.2615034282207489,203.9334259033203,1.421048641204834,1.421048641204834,0.27145713567733765,0.27145713567733765,0.2757643461227417,0.5266571640968323,0.5266571640968323,0.2658122181892395,0.27145713567733765,0.5266571640968323,0.2714352309703827,0.526307225227356,0.27145713567733765,0,,,,,,,,,,,,,
6.974618633264127e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,,,,,,,,,,,,,,,,,0,0.7707697153091431,0.2710648477077484,0.25898900628089905,0.255859375,0.255859375,0.2515832185745239,0.5009765625,0.5009765625,0.255859375,0.5009765625,0.25634765625,0.5010485649108887,2.4708359241485596
,373,0.7619313597679138,0.2613585591316223,203.94189453125,1.412773847579956,1.412773847579956,0.27619999647140503,0.27619999647140503,0.2810731828212738,0.5305714011192322,0.5305714011192322,0.26814669370651245,0.27619999647140503,0.5305714011192322,0.2763424217700958,0.5305641889572144,0.27619999647140503,0,,,,,,,,,,,,,
8.799563015143274e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,,,,,,,,,,,,,,,,,0,0.7701182961463928,0.2703915536403656,0.2528746724128723,0.251953125,0.251953125,0.24268554151058197,0.484375,0.484375,0.251953125,0.484375,0.25132253766059875,0.48355337977409363,2.391641855239868
,407,0.7618959546089172,0.26133957505226135,203.95181274414062,1.4076234102249146,1.4076234102249146,0.27480000257492065,0.27480000257492065,0.2786412239074707,0.5343999862670898,0.5343999862670898,0.27007368206977844,0.27480000257492065,0.5343999862670898,0.27504783868789673,0.5344937443733215,0.27480000257492065,0,,,,,,,,,,,,,
,441,0.762022852897644,0.2613994777202606,203.96173095703125,1.4009302854537964,1.4009302854537964,0.27577143907546997,0.27577143907546997,0.28291043639183044,0.5374285578727722,0.5374285578727722,0.2727321684360504,0.27577143907546997,0.5374285578727722,0.2765929102897644,0.5379803776741028,0.27577143907546997,0,,,,,,,,,,,,,
1.0863036547479045e-05,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,,,,,,,,,,,,,,,,,0,0.7669849991798401,0.26736289262771606,0.25888127088546753,0.2587890625,0.2587890625,0.2568643391132355,0.5126953125,0.5126953125,0.2587890625,0.5126953125,0.258899062871933,0.5119229555130005,2.125272274017334
,475,0.7618058323860168,0.26122042536735535,203.97198486328125,1.394568681716919,1.394568681716919,0.28108569979667664,0.28108569979667664,0.28691402077674866,0.5454857349395752,0.5454857349395752,0.276692271232605,0.28108569979667664,0.5454857349395752,0.28142502903938293,0.5459543466567993,0.28108569979667664,0,,,,,,,,,,,,,
1.3163002831021261e-05,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,,,,,,,,,,,,,,,,,0,0.7648885250091553,0.265438437461853,0.29042860865592957,0.2880859375,0.2880859375,0.26990658044815063,0.5400390625,0.5400390625,0.2880859375,0.5400390625,0.2874206602573395,0.5393281579017639,1.932259202003479
,509,0.7619006037712097,0.261281818151474,203.9828643798828,1.3909891843795776,1.3909891843795776,0.2849999964237213,0.2849999964237213,0.2889850437641144,0.5438857078552246,0.5438857078552246,0.2754752039909363,0.2849999964237213,0.5438857078552246,0.2843211889266968,0.5433390140533447,0.2849999964237213,0,,,,,,,,,,,,,
,543,0.7619156837463379,0.2612472176551819,203.99354553222656,1.3871562480926514,1.3871562480926514,0.2896000146865845,0.2896000146865845,0.29581746459007263,0.548457145690918,0.548457145690918,0.27827054262161255,0.2896000146865845,0.548457145690918,0.28935447335243225,0.5483490228652954,0.2896000146865845,0,,,,,,,,,,,,,
1.5697192076726342e-05,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,549,,,,,,,,,,,,,,,,,0,0.7679946422576904,0.2675681710243225,0.24212747812271118,0.2421875,0.2421875,0.2411138117313385,0.482421875,0.482421875,0.2421875,0.482421875,0.2419223040342331,0.48166462779045105,1.8373271226882935
,577,0.7619220018386841,0.26125988364219666,204.0038299560547,1.3842887878417969,1.3842887878417969,0.2906000018119812,0.2906000018119812,0.2949278950691223,0.5557143092155457,0.5557143092155457,0.28112971782684326,0.2906000018119812,0.5557143092155457,0.2899607717990875,0.5551233887672424,0.2906000018119812,0,,,,,,,,,,,,,
1.8463103345765135e-05,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,,,,,,,,,,,,,,,,,0,0.766219973564148,0.2658281922340393,0.27402564883232117,0.271484375,0.271484375,0.2502116560935974,0.4990234375,0.4990234375,0.271484375,0.4990234375,0.26996392011642456,0.49889203906059265,1.7139995098114014
,611,0.762006938457489,0.26132652163505554,204.0132598876953,1.3827707767486572,1.3827707767486572,0.2932857275009155,0.2932857275009155,0.30048152804374695,0.5548856854438782,0.5548856854438782,0.2817875146865845,0.2932857275009155,0.5548856854438782,0.293437659740448,0.5552248954772949,0.2932857275009155,0,,,,,,,,,,,,,
,645,0.7620301246643066,0.2613201141357422,204.02235412597656,1.3804140090942383,1.3804140090942383,0.2969714403152466,0.2969714403152466,0.30259594321250916,0.5600000023841858,0.5600000023841858,0.28468820452690125,0.2969714403152466,0.5600000023841858,0.29676926136016846,0.5598471164703369,0.2969714403152466,0,,,,,,,,,,,,,
2.1458007017647643e-05,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,,,,,,,,,,,,,,,,,0,0.765661895275116,0.2652040123939514,0.2658253312110901,0.26171875,0.26171875,0.26207125186920166,0.515625,0.515625,0.26171875,0.515625,0.25968480110168457,0.5134546756744385,1.6289423704147339
,679,0.7621824741363525,0.26144248247146606,204.03074645996094,1.3805071115493774,1.3805071115493774,0.2954571545124054,0.2954571545124054,0.30217739939689636,0.5618285536766052,0.5618285536766052,0.28643274307250977,0.2954571545124054,0.5618285536766052,0.2959195673465729,0.5621673464775085,0.2954571545124054,0,,,,,,,,,,,,,
2.4678947484028796e-05,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,,,,,,,,,,,,,,,,,0,0.7625833749771118,0.26242008805274963,0.29627957940101624,0.29296875,0.29296875,0.277407169342041,0.5537109375,0.5537109375,0.29296875,0.5537109375,0.29290521144866943,0.5538582801818848,1.5430777072906494
,713,0.7621340155601501,0.26140251755714417,204.03794860839844,1.3789126873016357,1.3789126873016357,0.3011428713798523,0.3011428713798523,0.3068552315235138,0.5650857090950012,0.5650857090950012,0.28695952892303467,0.3011428713798523,0.5650857090950012,0.3007581830024719,0.564855694770813,0.3011428713798523,0,,,,,,,,,,,,,
,747,0.7622371912002563,0.26148638129234314,204.04434204101562,1.3787647485733032,1.3787647485733032,0.3012285828590393,0.3012285828590393,0.3069317042827606,0.569685697555542,0.569685697555542,0.28962814807891846,0.3012285828590393,0.569685697555542,0.30103448033332825,0.569722056388855,0.3012285828590393,0,,,,,,,,,,,,,
2.812274606553715e-05,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,,,,,,,,,,,,,,,,,0,0.7636210322380066,0.2631058096885681,0.27779239416122437,0.2744140625,0.2744140625,0.2594541311264038,0.513671875,0.513671875,0.2744140625,0.513671875,0.2751743197441101,0.513174295425415,1.5061756372451782
,781,0.7623329162597656,0.2615583539009094,204.0497283935547,1.378981113433838,1.378981113433838,0.29757142066955566,0.29757142066955566,0.30280327796936035,0.5678571462631226,0.5678571462631226,0.28903985023498535,0.29757142066955566,0.5678571462631226,0.2977314591407776,0.5678014755249023,0.29757142066955566,0,,,,,,,,,,,,,
3.178600414874756e-05,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,,,,,,,,,,,,,,,,,0,0.7643098831176758,0.2635132968425751,0.25151675939559937,0.25,0.25,0.2513975203037262,0.498046875,0.498046875,0.25,0.498046875,0.25098633766174316,0.4972645342350006,1.4798245429992676
,815,0.7624451518058777,0.26164525747299194,204.0537872314453,1.3793561458587646,1.3793561458587646,0.3148857057094574,0.3148857057094574,0.31687673926353455,0.571142852306366,0.571142852306366,0.29087045788764954,0.3148857057094574,0.571142852306366,0.31500282883644104,0.5711331367492676,0.3148857057094574,0,,,,,,,,,,,,,
3.566510654020244e-05,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,849,,,,,,,,,,,,,,,,,0,0.7625530958175659,0.2619869112968445,0.2846139967441559,0.28515625,0.28515625,0.27261146903038025,0.544921875,0.544921875,0.28515625,0.544921875,0.28472259640693665,0.5448030233383179,1.448807954788208
,849,0.7624984383583069,0.2617107629776001,204.05653381347656,1.3794068098068237,1.3794068098068237,0.31454285979270935,0.31454285979270935,0.3144983649253845,0.5663999915122986,0.5663999915122986,0.2879445254802704,0.31454285979270935,0.5663999915122986,0.3150702118873596,0.5670017004013062,0.31454285979270935,0,,,,,,,,,,,,,
,883,0.7625331282615662,0.26172128319740295,204.05885314941406,1.3794399499893188,1.3794399499893188,0.32499998807907104,0.32499998807907104,0.32603150606155396,0.5684571266174316,0.5684571266174316,0.28926166892051697,0.32499998807907104,0.5684571266174316,0.3252653479576111,0.5683954358100891,0.32499998807907104,0,,,,,,,,,,,,,
3.975622503417116e-05,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,899,,,,,,,,,,,,,,,,,0,0.7619088888168335,0.2614062428474426,0.2775174379348755,0.2763671875,0.2763671875,0.2617550492286682,0.5224609375,0.5224609375,0.2763671875,0.5224609375,0.27663347125053406,0.5225609540939331,1.4205849170684814
,917,0.7625671625137329,0.26174378395080566,204.0589599609375,1.3794515132904053,1.3794515132904053,0.3203714191913605,0.3203714191913605,0.323272705078125,0.5688857436180115,0.5688857436180115,0.2904670834541321,0.3203714191913605,0.5688857436180115,0.32064610719680786,0.5693215131759644,0.3203714191913605,0,,,,,,,,,,,,,
4.405532219062683e-05,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,949,,,,,,,,,,,,,,,,,0,0.763269305229187,0.2624737620353699,0.2499733716249466,0.25,0.25,0.2550736665725708,0.509765625,0.509765625,0.25,0.509765625,0.25036871433258057,0.5101079344749451,1.4198482036590576
,951,0.762617290019989,0.26176878809928894,204.05824279785156,1.3797417879104614,1.3797417879104614,0.31859999895095825,0.31859999895095825,0.3220503628253937,0.5674571394920349,0.5674571394920349,0.2906610071659088,0.31859999895095825,0.5674571394920349,0.319561630487442,0.5684479475021362,0.31859999895095825,0,,,,,,,,,,,,,
,985,0.7626106142997742,0.2617688477039337,204.05648803710938,1.3795220851898193,1.3795220851898193,0.3213428556919098,0.3213428556919098,0.32419267296791077,0.5748857259750366,0.5748857259750366,0.29386842250823975,0.3213428556919098,0.5748857259750366,0.3204501271247864,0.5741710662841797,0.3213428556919098,0,,,,,,,,,,,,,
4.8558155319712344e-05,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,,,,,,,,,,,,,,,,,0,0.76205974817276,0.26152920722961426,0.2797245979309082,0.27734375,0.27734375,0.2665902078151703,0.5302734375,0.5302734375,0.27734375,0.5302734375,0.27652913331985474,0.5291327834129333,1.403977632522583
,1019,0.7626837491989136,0.26186272501945496,204.0542755126953,1.3800625801086426,1.3800625801086426,0.3213428556919098,0.3213428556919098,0.32914218306541443,0.5709142684936523,0.5709142684936523,0.2929706275463104,0.3213428556919098,0.5709142684936523,0.3217727243900299,0.5711906552314758,0.3213428556919098,0,,,,,,,,,,,,,
5.3260280668762945e-05,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
