lr-AdamW,step,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric,epoch,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.7654330730438232,0.26481613516807556,203.89590454101562,1.5610226392745972,1.5610226392745972,0.2411714345216751,0.2411714345216751,0.2343953400850296,0.49545714259147644,0.49545714259147644,0.24647003412246704,0.2411714345216751,0.49545714259147644,0.24032436311244965,0.49481022357940674,0.2411714345216751,0,,,,,,,,,,,,,
1.1182382915795542e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,0,0.7759291529655457,0.27643537521362305,0.2454189509153366,0.2392578125,0.2392578125,0.24816714227199554,0.4921875,0.4921875,0.2392578125,0.4921875,0.2410690188407898,0.4950868785381317,3.4068992137908936
,67,0.7647844552993774,0.2641765773296356,203.8971405029297,1.5269052982330322,1.5269052982330322,0.2475714236497879,0.2475714236497879,0.239228293299675,0.49565714597702026,0.49565714597702026,0.24741925299167633,0.2475714236497879,0.49565714597702026,0.24675147235393524,0.49437248706817627,0.2475714236497879,0,,,,,,,,,,,,,
1.4825370244160239e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,0,0.7742120027542114,0.2747962474822998,0.24832674860954285,0.2470703125,0.2470703125,0.2467733919620514,0.4892578125,0.4892578125,0.2470703125,0.4892578125,0.24816113710403442,0.49049878120422363,3.226389169692993
,101,0.7643440365791321,0.26371312141418457,203.89878845214844,1.4998754262924194,1.4998754262924194,0.24665714800357819,0.24665714800357819,0.24109983444213867,0.49868571758270264,0.49868571758270264,0.24961163103580475,0.24665714800357819,0.49868571758270264,0.24715621769428253,0.4990362226963043,0.24665714800357819,0,,,,,,,,,,,,,
,135,0.7636754512786865,0.26312199234962463,203.90171813964844,1.4822200536727905,1.4822200536727905,0.25442856550216675,0.25442856550216675,0.2502022981643677,0.5010285973548889,0.5010285973548889,0.25059524178504944,0.25442856550216675,0.5010285973548889,0.25515180826187134,0.5018509030342102,0.25442856550216675,0,,,,,,,,,,,,,
2.092585928966765e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,0,0.7740316390991211,0.27453500032424927,0.24388626217842102,0.2431640625,0.2431640625,0.2533379793167114,0.50390625,0.50390625,0.2431640625,0.50390625,0.24363966286182404,0.5039488077163696,3.2566263675689697
,169,0.7632925510406494,0.26275545358657837,203.90475463867188,1.4664926528930664,1.4664926528930664,0.25851428508758545,0.25851428508758545,0.25499865412712097,0.5052571296691895,0.5052571296691895,0.2532215118408203,0.25851428508758545,0.5052571296691895,0.258505254983902,0.5058839321136475,0.25851428508758545,0,,,,,,,,,,,,,
2.9477829606150416e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,,,0,0.7723767757415771,0.27284637093544006,0.2699623107910156,0.2666015625,0.2666015625,0.24670249223709106,0.4921875,0.4921875,0.2666015625,0.4921875,0.2659754455089569,0.49216705560684204,3.030205488204956
,203,0.7627295255661011,0.26224228739738464,203.90895080566406,1.453640103340149,1.453640103340149,0.26165714859962463,0.26165714859962463,0.2637912631034851,0.5139428377151489,0.5139428377151489,0.2584492266178131,0.26165714859962463,0.5139428377151489,0.2618534564971924,0.5144837498664856,0.26165714859962463,0,,,,,,,,,,,,,
,237,0.7627711892127991,0.2622499465942383,203.91322326660156,1.449716567993164,1.449716567993164,0.26422858238220215,0.26422858238220215,0.26701050996780396,0.5196285843849182,0.5196285843849182,0.26124390959739685,0.26422858238220215,0.5196285843849182,0.2639482617378235,0.5195778608322144,0.26422858238220215,0,,,,,,,,,,,,,
4.047284143139844e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
